studentname,phonenumber,majorname,course1,course2,course3,course4
asdas,qwqwqw,Applied Physics,68101,68606,68101,asdasd
ad,123,Accounting,ACCT3015,ACCT2011,ACCT3031,ACCT3031
123,asd,Accounting,79017,79017,22320,asd
asd,123,Accounting,79014,79014,22320,22321
alan,0426992689,Proressional Accounting,Acct,,,
asd,123,Accounting,CLAW3201,ACCT1006,ACCT3020,ACCT3600
asd,123,Accounting,ACCT3600,ACCT1006,ACCT3031,ACCT3400
asdasd,123123,COMM: Commerce,COMM1040,COMM2233,COMM5005,COMM5040
Xiaoxiannv,123456,mpa,1111,2222,,
asas,12321,Accounting,79017,22421,22319,22420
12321,1232123,ACCT: Accounting,00,123,12321,123123
asd,123,ACCT: Accounting,ACCT2507,ACCT2522,ACCT5909,ACCT5909
sjsjdj,28288,Accounting,79017,22320,22420,22321
asd,12321,Accounting,BUSS1030,INFS3110,ACCT3016,ACCT2011
asd,123,ACCT: Accounting,ACCT2101,ACCT2542,ACCT3303,ACCT5914
123,12321,Accounting,BUSS1030,BUSS1030,ACCT1006,ACCT2011
asd,12321,Accounting,22420,79014,79017,22319
asdad,123121,Accounting,22321,22522,22319,79017
123,12321,Accounting,BUSS1030,CLAW3201,CLAW3201,ACCT3600
123,123,ACCT: Accounting,ACCT1501,ACCT1511,ACCT1511,ACCT1501
13¥,0,Accounting,ACCT1006,ACCT3600,BUSS1030,ACCT1006
123,123,Accounting,ACCT3600,ACCT1006,ACCT1006,ACCT3020
asdf,12321,Accounting,11,79014,22420,22319
asdasd,123,COMP: Computer Science,COMP1521,COMP4121,COMP4511,COMP1000
asd,13,Accounting,22420,79017,22522,22319
123,12321,COMP: Computer Science,COMP1400,COMP1927,COMP2111,COMP1531
hsdjkahdh,13123,Accounting,BUSS1030,ACCT2011,ACCT3600,CLAW3201
asldkalkjk,292929,ACCT: Accounting,ACCT5906,ACCT5910,ACCT2542,ACCT3303
asdsqq,1232,Accounting,22420,79017,22522,22319
22321,12321,ACCT: Accounting,ACCT2101,ACCT2101,ACCT2507,ACCT3303
sasd,3211q,Computer Science,DATA3404,COMP3927,ELEC3506,COMP3221
sad,23,ACCT: Accounting,ACCT1501,ACCT1511,ACCT2522,ACCT3303
